measurement_id,timestamp,station_name,station_type,latitude,longitude,pm25,pm10,no2,so2,co,ozone,temperature,humidity,wind_speed,wind_direction,pressure,visibility,aqi
AQ_000040,2024-01-03 08:00:00,Industrial Zone East,industrial,28.8386,77.1462,52.0,776.0,496.0,110.0,18.0,704.0,17.5,23.94305326846154,5.3,61,1031.4,25.4,141
AQ_000041,2024-01-03 08:45:00,Heavy Industry Area,industrial,28.3852,77.2719,1667.0,121.0,309.0,296.0,37.0,605.0,11.2,24.138142090040713,4.2,177,970.1,4.4,500
AQ_000042,2024-01-03 12:00:00,Chemical Complex Monitor,industrial,28.3974,77.3266,,72.0,,147.0,,41.0,18.7,45.93320202960054,11.8,308,954.1,25.9,104
AQ_000043,2024-01-03 14:00:00,Suburban Monitoring,urban_residential,28.4595,77.0266,28.0,105.0,327.0,56.0,63.0,101.0,16.5,23.29008431228814,4.2,339,1026.5,2.8,84
AQ_000044,2024-01-03 14:45:00,Highway Monitoring Point,urban_traffic,28.6304,77.2177,2646.0,289.0,233.0,241.0,7.3,473.0,8.9,27.789600819435606,9.8,20,1015.4,1.9,500
AQ_000045,2024-01-03 17:15:00,University Campus,background,28.5449,77.1926,38.33135536956058,34.0,142.0,3.9,4.1,146.0,13.7,46.94850763630899,2.9,238,1011.4,7.8,500
AQ_000046,2024-01-03 18:30:00,Green Belt Station,background,28.6877,77.2273,,109.0,278.0,,,404.0,14.0,27.09629201419144,2.6,80,1022.3,4.1,172
AQ_000047,2024-01-03 19:15:00,Suburban Monitoring,urban_residential,28.4595,77.0266,314.0,390.0,621.0,431.0,36.0,1279.0,12.2,27.130575438077514,7.6,269,1027.5,3.9,363
AQ_000048,2024-01-03 19:30:00,Major Road Intersection,urban_traffic,28.5355,77.391,240.0,359.0,134.0,0.1,141.0,304.0,12.5,20.00820920462236,4.2,252,950.9,27.9,289
AQ_000049,2024-01-03 19:30:00,Central Business District,urban_traffic,28.6289,77.2065,110.0,106.0,463.0,1004.0,1.0,585.0,4.5,21.68698796581011,0.1,275,1031.9,7.9,207
AQ_000050,2024-01-03 20:30:00,Manufacturing District,industrial,28.4089,77.3178,99.0,191.0,601.0,288.0,5.1,652.0,6.9,54.33126044638645,7.7,208,1032.3,13.0,195
AQ_000051,2024-01-04 00:45:00,Residential Park,urban_residential,28.6692,77.4538,27.0,57.0,276.0,96.0,173.0,313.0,13.4,57.753006618290904,1.7,60,1010.5,1.2,82
AQ_000052,2024-01-04 01:15:00,City Park Monitor,background,28.6169,77.2295,31.0,118.0,52.0,96.0,18.0,542.0,11.9,49.2645841951249,0.8,17,1044.1,5.8,90
AQ_000053,2024-01-04 04:00:00,Central Business District,urban_traffic,28.6289,77.2065,204.0,513.0,247.0,700.0,80.0,396.0,5.3,22.10035506952299,2.3,295,995.8,8.1,253
AQ_000054,2024-01-04 07:00:00,City Park Monitor,background,28.6169,77.2295,12.0,2496.0,2.9,218.0,22.0,187.0,7.2,34.76252889815215,6.8,92,1034.8,23.6,50
AQ_000055,2024-01-04 08:15:00,Urban Background,background,28.6441,77.2136,64.0,67.0,91.0,83.0,35.0,301.0,11.0,40.31091069567891,6.2,291,1007.0,28.5,159
AQ_000056,2024-01-04 09:30:00,Suburban Monitoring,urban_residential,28.4595,77.0266,1007.0,184.0,152.0,63.0,15.0,247.0,15.4,33.985508151811516,2.2,136,972.7,7.8,500
AQ_000057,2024-01-04 10:30:00,Manufacturing District,industrial,28.4089,77.3178,248.0,412.0,951.0,28.0,19.0,481.0,16.6,25.181421834430875,7.7,312,968.1,6.6,297
AQ_000058,2024-01-04 12:00:00,Major Road Intersection,urban_traffic,28.5355,77.391,80.0,206.0,213.0,399.0,21.0,241.0,19.6,28.536243038198215,14.1,316,998.5,26.9,175
AQ_000059,2024-01-04 12:30:00,Industrial Zone East,industrial,28.8386,77.1462,364.0,446.0,458.0,595.0,32.0,600.0,15.7,55.07145388182609,9.8,297,1008.4,14.9,413
AQ_000060,2024-01-04 13:15:00,Highway Monitoring Point,urban_traffic,28.6304,77.2177,226.0,83.0,41.0,616.0,31.0,315.0,7.1,54.964208853401054,9.8,199,1031.9,13.4,275
AQ_000061,2024-01-04 15:00:00,Manufacturing District,industrial,28.4089,77.3178,282.0,0.7,1393.0,114.0,41.0,871.0,5.6,45.56116856701901,6.1,296,972.4,1.3,331
AQ_000062,2024-01-04 17:00:00,Urban Background,background,28.6441,77.2136,144.0,65.0,79.0,27.0,4.1,153.0,15.8,49.83957145994686,0.7,296,1038.1,16.8,243
AQ_000063,2024-01-04 17:45:00,Suburban Monitoring,urban_residential,28.4595,77.0266,11.0,2384.0,24.0,78.0,31.0,203.0,10.2,43.669169125098435,1.0,102,1028.7,12.0,45
AQ_000064,2024-01-04 17:45:00,Central Business District,urban_traffic,28.6289,77.2065,67.0,270.0,222.0,52.0,29.0,460.0,7.9,34.87116687774429,0.3,335,996.6,8.0,162
AQ_000065,2024-01-04 18:00:00,Suburban Monitoring,urban_residential,28.4595,77.0266,71.0,114.0,43.0,1052.0,2.2,262.0,10.6,50.960243046935574,5.5,192,1039.5,7.1,166
AQ_000066,2024-01-04 18:15:00,Major Road Intersection,urban_traffic,28.5355,77.391,30.0,349.0,700.0,187.0,71.0,692.0,10.9,49.05588139396993,0.9,255,1029.2,4.2,88
AQ_000067,2024-01-04 18:15:00,Residential Park,urban_residential,28.6692,77.4538,377.0,33.0,87.0,384.0,36.0,243.0,15.9,27.60322995589171,3.5,27,968.0,29.4,426
AQ_000068,2024-01-04 18:30:00,Downtown Traffic Junction,urban_traffic,28.6139,77.209,47.0,278.0,219.0,1541.0,40.0,158.0,6.8,58.05108416786715,2.8,167,1033.3,19.6,129
AQ_000069,2024-01-04 20:15:00,Urban Background,background,28.6441,77.2136,49.0,20.0,50.0,41.0,18.0,51.0,7.0,38.55202734248228,4.6,120,987.9,14.1,134
AQ_000070,2024-01-04 21:00:00,Heavy Industry Area,industrial,28.3852,77.2719,-19.850914271066184,356.0,1224.0,124.0,13.0,342.0,7.6,49.54434278805704,7.8,157,964.7,25.2,271
AQ_000071,2024-01-04 21:00:00,Urban Background,background,28.6441,77.2136,53.0,142.0,79.0,324.0,23.0,226.0,15.7,58.41759239610379,1.9,143,1011.2,17.6,144
AQ_000072,2024-01-05 00:30:00,Heavy Industry Area,industrial,28.3852,77.2719,221.0,4.6,470.0,524.0,44.0,,12.9,49.35003502631423,3.8,200,1020.4,28.7,270
AQ_000073,2024-01-05 04:00:00,Suburban Monitoring,urban_residential,28.4595,77.0266,44.0,182.0,104.0,89.0,70.0,324.0,9.8,37.3436573192698,3.8,242,1017.7,13.4,121
AQ_000074,2024-01-05 08:30:00,University Campus,background,28.5449,77.1926,,140.0,738.0,89.0,,,5.6,21.651542785750195,3.5,225,1044.0,13.0,185
AQ_000075,2024-01-05 09:00:00,Manufacturing District,industrial,28.4089,77.3178,247.0,23.0,335.0,275.0,195.0,983.0,15.0,56.81064274660481,6.4,341,999.2,23.6,296
AQ_000076,2024-01-05 09:30:00,Manufacturing District,industrial,28.4089,77.3178,564.0,852.0,366.0,426.0,156.0,1773.0,5.6,58.43751385508365,1.1,347,1036.2,12.1,237
AQ_000077,2024-01-05 10:30:00,Green Belt Station,background,28.6877,77.2273,29.0,9.2,199.0,96.0,6.6,112.0,18.1,40.76232586330019,14.4,22,1017.2,29.5,86
AQ_000078,2024-01-05 10:45:00,Urban Background,background,28.6441,77.2136,170.0,97.0,36.0,13.0,13.0,273.0,12.8,45.25835136774831,14.9,10,1046.4,14.4,219
AQ_000079,2024-01-05 10:45:00,Residential Area North,urban_residential,28.7041,77.1025,55.0,260.0,74.0,78.0,12.0,261.0,16.0,30.894155136909482,13.4,77,997.2,3.2,149
AQ_000080,2024-01-05 14:30:00,Residential Area North,urban_residential,28.7041,77.1025,235.0,152.0,94.0,174.0,5.5,202.0,19.9,41.29092040664413,11.0,358,984.9,3.9,284
AQ_000081,2024-01-05 17:15:00,Industrial Zone East,industrial,28.8386,77.1462,213.0,107.0,533.0,28.0,105.0,425.0,17.9,39.07941456666802,2.3,318,997.6,1.3,262
AQ_000082,2024-01-05 18:00:00,Green Belt Station,background,28.6877,77.2273,7.4,158.0,51.0,75.0,46.0,278.0,20.2,51.03689306201245,3.5,344,977.1,8.6,30
AQ_000083,2024-01-05 18:15:00,University Campus,background,28.5449,77.1926,6.2,175.0,44.0,42.0,5.2,197.0,8.3,26.65922646949188,0.1,128,1024.3,15.7,25
AQ_000084,2024-01-05 18:30:00,Residential Park,urban_residential,28.6692,77.4538,174.0,238.0,142.0,52.0,3.7,410.0,6.7,40.38367976119781,5.7,224,1022.8,13.7,223
AQ_000085,2024-01-05 18:30:00,Green Belt Station,background,28.6877,77.2273,86.0,2.2,129.0,416.0,14.0,419.0,5.7,36.43119473331217,3.3,269,1043.7,4.1,182
AQ_000086,2024-01-05 18:30:00,Downtown Traffic Junction,urban_traffic,28.6139,77.209,80.0,256.0,148.0,375.0,75.0,480.0,13.7,46.36818482774046,5.0,307,1010.1,24.3,175
AQ_000087,2024-01-05 20:00:00,Industrial Zone East,industrial,28.8386,77.1462,3.9,33.0,777.0,484.0,42.0,645.0,12.8,58.25603486138698,7.3,234,974.7,2.4,16
AQ_000088,2024-01-05 20:45:00,Suburban Monitoring,urban_residential,28.4595,77.0266,93.0,387.0,200.0,926.0,372.94841120698186,377.0,12.7,27.638413783284154,0.9,348,999.1,27.4,189
AQ_000089,2024-01-05 21:30:00,City Park Monitor,background,28.6169,77.2295,51.0,21.0,46.0,247.0,16.0,209.0,7.0,38.24836099519047,5.1,136,1024.7,29.2,139
AQ_000090,2024-01-05 23:30:00,Housing Complex Central,urban_residential,28.5494,77.25,60.0,103.0,101.0,38.0,22.0,186.0,12.7,46.72181892025771,6.5,16,1039.6,19.9,154
AQ_000091,2024-01-06 06:30:00,University Campus,background,28.5449,77.1926,8.3,175.0,29.0,45.0,15.0,24.0,10.6,21.650666677397634,3.7,83,977.7,29.6,34
AQ_000092,2024-01-06 08:30:00,Residential Park,urban_residential,28.6692,77.4538,76.0,126.0,448.0,717.0,40.0,559.0,15.0,31.45792685593638,5.6,130,1033.4,26.7,171
AQ_000093,2024-01-06 09:15:00,Urban Background,background,28.6441,77.2136,224.5780152871037,193.0,8.9,64.0,44.0,230.0,7.0,54.51869119834797,6.1,353,955.0,17.7,22
AQ_000094,2024-01-06 09:30:00,Suburban Monitoring,urban_residential,28.4595,77.0266,77.0,174.0,135.0,233.0,4.6,369.0,14.8,43.377798909877576,1.8,152,1000.6,15.2,172
AQ_000095,2024-01-06 10:15:00,Residential Area North,urban_residential,28.7041,77.1025,38.343384281257734,22.0,23.0,91.0,99.0,182.0,11.5,21.267074753324295,12.6,211,1020.4,20.6,99
AQ_000096,2024-01-06 12:45:00,Industrial Zone East,industrial,28.8386,77.1462,133.0,1450.0,239.0,511.0,11.0,173.0,9.4,28.57736044784712,5.3,125,957.3,26.9,231
AQ_000097,2024-01-06 13:15:00,Downtown Traffic Junction,urban_traffic,28.6139,77.209,202.0,96.0,74.0,113.0,102.0,60.0,15.0,40.71159318726964,6.5,231,953.8,21.1,251
AQ_000098,2024-01-06 14:15:00,City Park Monitor,background,28.6169,77.2295,47.0,10.0,252.0,47.0,39.0,195.0,18.6,55.26803919254893,10.1,117,950.7,16.9,129
AQ_000099,2024-01-06 14:15:00,City Park Monitor,background,28.6169,77.2295,113.0,7519.9602685464015,36.0,98.0,4.3,620.0,15.3,49.085917732134796,7.0,235,968.1,2.6,210
AQ_000100,2024-01-06 15:15:00,Green Belt Station,background,28.6877,77.2273,71.34684183406188,37.0,120.0,61.0,5.7,171.0,11.4,20.81847538956208,3.1,256,962.3,27.5,205
AQ_000101,2024-01-06 17:30:00,Central Business District,urban_traffic,28.6289,77.2065,135.0,72.0,602.0,152.0,100.0,15.0,18.4,27.967529894825923,7.9,217,999.7,16.8,233
AQ_000102,2024-01-06 18:00:00,Manufacturing District,industrial,28.4089,77.3178,437.0,238.0,207.0,8.6,48.0,649.0,7.5,26.134516320679175,3.9,281,979.1,19.5,486
AQ_000103,2024-01-06 18:00:00,Central Business District,urban_traffic,28.6289,77.2065,87.0,313.0,82.0,335.0,6.0,251.0,8.1,50.236073777844226,7.6,198,1036.4,25.1,183
AQ_000104,2024-01-06 19:00:00,Manufacturing District,industrial,28.4089,77.3178,449.0,265.0,97.0,81.0,3.7,816.0,9.4,59.592137801166864,6.4,182,985.9,6.1,498
AQ_000105,2024-01-06 19:30:00,City Park Monitor,background,28.6169,77.2295,98.0,81.0,173.0,10.0,3.7,131.0,5.5,26.545514567379445,3.3,313,1048.0,13.3,194
AQ_000106,2024-01-06 23:45:00,University Campus,background,28.5449,77.1926,1.2,110.0,73.0,129.0,19.0,63.0,12.9,31.293950753842964,5.8,148,954.7,22.0,5
AQ_000107,2024-01-07 01:00:00,Major Road Intersection,urban_traffic,28.5355,77.391,281.0,42.0,130.0,615.0,45.0,219.0,14.3,34.645408178115616,2.5,340,1005.3,27.1,330
AQ_000108,2024-01-07 07:00:00,Highway Monitoring Point,urban_traffic,28.6304,77.2177,383.0,30.0,162.0,105.0,8.7,311.0,15.6,30.450351338373753,0.2,45,979.1,14.3,432
AQ_000109,2024-01-07 08:00:00,Downtown Traffic Junction,urban_traffic,28.6139,77.209,356.0,48.0,273.0,339.0,171.0,316.0,18.3,52.31500624292384,4.1,239,1007.8,22.0,405
AQ_000110,2024-01-07 09:15:00,Central Business District,urban_traffic,28.6289,77.2065,18.0,126.0,18.0,63.0,6.6,395.0,15.5,27.90819736752775,2.8,84,956.6,19.8,62
AQ_000111,2024-01-07 14:00:00,Green Belt Station,background,28.6877,77.2273,77.0,12.0,79.0,57.0,3.4,141.0,17.7,44.96054692662584,8.6,63,988.0,22.1,172
AQ_000112,2024-01-07 14:45:00,Residential Area North,urban_residential,28.7041,77.1025,535.0,338.0,112.0,184.0,87.0,256.0,17.0,47.39656956150341,5.3,248,964.7,18.4,500
AQ_000113,2024-01-07 17:15:00,Major Road Intersection,urban_traffic,28.5355,77.391,16.0,98.0,447.0,148.0,6.3,679.0,21.7,44.08881308904216,1.5,91,1047.7,13.6,58
AQ_000114,2024-01-07 18:15:00,Urban Background,background,28.6441,77.2136,8.5,71.0,58.0,164.0,49.0,45.0,13.0,20.121554174526764,3.7,276,984.8,5.6,35
AQ_000115,2024-01-07 18:45:00,Downtown Traffic Junction,urban_traffic,28.6139,77.209,,170.0,,252.0,117.0,,20.8,53.87354752530662,5.2,255,988.1,21.0,198
AQ_000116,2024-01-07 18:45:00,Chemical Complex Monitor,industrial,28.3974,77.3266,322.0,110.0,879.0,916.0,125.0,604.0,18.3,52.3105393243853,6.2,101,996.7,20.0,371
AQ_000117,2024-01-07 19:00:00,Chemical Complex Monitor,industrial,28.3974,77.3266,57.0,2306.0,566.0,160.0,16.0,615.0,15.8,20.326973179987903,0.1,165,986.9,8.6,151
AQ_000118,2024-01-08 00:30:00,Heavy Industry Area,industrial,28.3852,77.2719,153.0,213.0,152.0,720.0,31.0,101.0,8.6,25.76946759828258,1.5,71,1013.6,15.8,202
AQ_000119,2024-01-08 05:45:00,Green Belt Station,background,28.6877,77.2273,61.0,8.3,50.0,84.0,1.1,206.0,8.6,59.80360299377169,4.4,227,993.8,3.6,155
AQ_000120,2024-01-08 06:30:00,Manufacturing District,industrial,28.4089,77.3178,407.0,489.0,219.0,69.0,81.0,547.0,13.9,56.929127002570205,0.8,212,975.6,8.7,456
AQ_000121,2024-01-08 14:30:00,City Park Monitor,background,28.6169,77.2295,66.0,31.0,9.3,194.0,26.0,58.0,15.2,21.984747177964525,14.8,109,1016.9,27.6,161
AQ_000122,2024-01-08 15:15:00,Chemical Complex Monitor,industrial,28.3974,77.3266,97.0,108.0,141.0,694.0,127.0,33.0,11.9,23.38577471823605,7.3,182,985.5,30.0,193
AQ_000123,2024-01-08 17:15:00,Housing Complex Central,urban_residential,28.5494,77.25,62.0,24.0,48.0,42.0,83.0,78.0,21.1,49.020038906367546,6.9,134,972.2,18.7,156
AQ_000124,2024-01-08 18:30:00,Housing Complex Central,urban_residential,28.5494,77.25,77.0,498.0,354.0,178.0,-12.375509232697752,938.0,10.1,41.12298673453598,4.4,168,1002.0,7.7,172
AQ_000125,2024-01-08 18:30:00,Highway Monitoring Point,urban_traffic,28.6304,77.2177,116.0,157.0,434.0,231.0,352.0,820.0,13.1,22.91698501367143,6.4,128,952.3,4.4,213
AQ_000126,2024-01-08 19:45:00,Residential Park,urban_residential,28.6692,77.4538,207.0,139.0,83.0,99.0,4.8,236.0,13.5,35.78547367276474,7.7,25,963.6,16.1,256
AQ_000127,2024-01-08 19:45:00,Suburban Monitoring,urban_residential,28.4595,77.0266,766.0,140.0,233.0,6.4,6.6,513.0,15.9,22.37728015492497,4.4,214,1035.3,16.4,500
AQ_000128,2024-01-08 20:30:00,Central Business District,urban_traffic,28.6289,77.2065,305.0,8036.0,1103.0,162.0,57.0,640.0,9.7,29.091114240690313,2.9,213,995.8,6.1,354
AQ_000129,2024-01-08 21:30:00,Residential Park,urban_residential,28.6692,77.4538,20.0,130.0,73.0,152.0,11.0,290.0,12.4,29.913457405900765,5.2,349,961.3,3.0,67
AQ_000130,2024-01-09 01:15:00,Suburban Monitoring,urban_residential,28.4595,77.0266,44.0,119.0,37.0,13.0,17.0,236.0,6.5,24.84672632593299,7.4,189,1030.9,11.9,121
AQ_000131,2024-01-09 02:15:00,Housing Complex Central,urban_residential,28.5494,77.25,-1.3636898393275487,95.0,96.0,310.0,21.0,6.5,5.2,50.89150038103849,2.4,69,1002.3,2.8,71
AQ_000132,2024-01-09 06:45:00,Suburban Monitoring,urban_residential,28.4595,77.0266,36.0,79.0,117.0,46.0,72.0,230.0,14.3,36.10900209292775,2.4,33,956.4,19.1,101
AQ_000133,2024-01-09 07:00:00,Residential Area North,urban_residential,28.7041,77.1025,14.0,400.0,171.0,143.0,96.0,183.0,10.6,43.6143789395162,0.2,89,1023.9,27.3,54
AQ_000134,2024-01-09 08:15:00,Chemical Complex Monitor,industrial,28.3974,77.3266,270.0,128.0,139.0,32.0,4.6,397.0,16.0,43.92889168055376,7.2,155,1034.2,25.4,319
AQ_000135,2024-01-09 08:45:00,Chemical Complex Monitor,industrial,28.3974,77.3266,329.0,417.0,348.0,1038.0,94.0,1337.0,17.5,29.724181700331876,6.9,55,950.9,8.9,378
AQ_000136,2024-01-09 11:15:00,Highway Monitoring Point,urban_traffic,28.6304,77.2177,30.0,169.0,756.0,245.0,4.5,175.0,19.5,31.391228731821418,5.6,95,1004.5,15.0,88
AQ_000137,2024-01-09 12:45:00,Chemical Complex Monitor,industrial,28.3974,77.3266,192.0,331.0,124.0,1190.0,9.5,278.0,15.5,44.815931603796415,10.9,125,974.3,2.4,241
AQ_000138,2024-01-09 13:00:00,Manufacturing District,industrial,28.4089,77.3178,31.0,-4.803332902133668,446.0,189.0,311.0,10.0,13.8,34.798417987096315,14.4,69,1037.8,24.9,90
AQ_000139,2024-01-09 13:45:00,Residential Area North,urban_residential,28.7041,77.1025,226.0,21.0,607.0,55.0,22.0,43.0,7.6,29.890941012401647,3.3,249,1006.0,12.7,275
AQ_000140,2024-01-09 16:30:00,Central Business District,urban_traffic,28.6289,77.2065,123.0,120.0,578.0,367.0,9.1,666.0,7.5,59.33723913792211,13.0,85,952.2,28.2,221
AQ_000141,2024-01-09 16:45:00,Urban Background,background,28.6441,77.2136,49.0,192.0,350.0,175.0,3.1,229.0,10.7,24.42774162488908,5.4,39,957.4,6.4,134
AQ_000142,2024-01-09 17:00:00,Central Business District,urban_traffic,28.6289,77.2065,793.0,103.0,462.0,102.0,55.0,644.0,9.7,32.88510274169465,1.2,265,972.5,28.4,500
AQ_000143,2024-01-09 17:30:00,University Campus,background,28.5449,77.1926,58.0,37.0,45.0,4.5,8.7,3686.6975325095664,6.5,42.8830778987456,3.4,58,1025.9,7.0,152
